Tempo(s),Pkt_env,Pkt_Rcv,Pkt_PDR,Exp_Pkt_Rcv,Exp_Pkts_Range_Recv,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1547,12639,8.17001,270,222,0.822222,0.802387,0.78841,0.760169,0.735156,0.712774,0.690712,0.66946,0.646758,0.619855
3,3094,24982,8.07434,540,439,0.812963,0.803714,0.785714,0.761512,0.735417,0.712382,0.690944,0.670023,0.647332,0.619855
4,4641,37884,8.1629,810,663,0.818519,0.804156,0.783468,0.763239,0.738715,0.716693,0.694788,0.674462,0.652144,0.626509
5,6188,50374,8.14059,1080,889,0.823148,0.811008,0.789252,0.764006,0.738542,0.715615,0.693498,0.67218,0.648609,0.623167
6,7735,63247,8.17673,1350,1124,0.832593,0.814058,0.794744,0.768611,0.741823,0.718926,0.696471,0.674437,0.650886,0.625632
7,9282,75752,8.16117,1620,1368,0.844444,0.816092,0.793688,0.768803,0.742882,0.719077,0.696259,0.673149,0.649451,0.624463
8,10829,88139,8.13916,1890,1588,0.840212,0.814324,0.792453,0.767405,0.739881,0.716693,0.69414,0.671211,0.647369,0.62277
9,12376,100644,8.13219,2160,1815,0.840278,0.812334,0.791442,0.766836,0.73877,0.715493,0.692608,0.6696,0.646211,0.621666
10,13923,112943,8.11197,2430,2048,0.842798,0.814471,0.792677,0.766692,0.739265,0.715169,0.692415,0.66921,0.645728,0.621043
11,15470,125639,8.12146,2700,2279,0.844074,0.817241,0.792722,0.767153,0.739557,0.71587,0.692523,0.669135,0.645695,0.62148
12,17017,138317,8.12817,2970,2517,0.847475,0.81782,0.792943,0.766169,0.738826,0.715909,0.692387,0.669289,0.645763,0.621694
13,18564,150979,8.13289,3240,2745,0.847222,0.817529,0.791947,0.765669,0.738346,0.715207,0.691731,0.669032,0.645846,0.621923
14,20111,163678,8.13873,3510,2974,0.847293,0.816772,0.791831,0.766456,0.739884,0.716497,0.693153,0.669902,0.646734,0.622661
15,21658,176155,8.13348,3780,3197,0.845767,0.814892,0.790191,0.765185,0.738709,0.715111,0.692227,0.668995,0.646111,0.621893
16,23205,188703,8.132,4050,3426,0.845926,0.81618,0.790476,0.765695,0.739097,0.715596,0.692539,0.669168,0.64623,0.62194
17,24752,201278,8.13179,4320,3655,0.846065,0.814406,0.790431,0.766356,0.739811,0.716766,0.693508,0.669944,0.646765,0.622295
18,26299,213962,8.13575,4590,3883,0.845969,0.81487,0.791264,0.766986,0.740165,0.716946,0.693799,0.67046,0.647102,0.622531
19,27846,226675,8.14031,4860,4117,0.847119,0.814324,0.791629,0.766586,0.739829,0.716377,0.693602,0.670391,0.647181,0.622441
20,29393,239478,8.14745,5130,4356,0.849123,0.814812,0.79263,0.767904,0.740981,0.71759,0.69459,0.671283,0.64819,0.623328
21,30940,252116,8.14855,5400,4587,0.849444,0.81492,0.791813,0.767153,0.740443,0.716987,0.69387,0.670698,0.647644,0.623008
22,32487,265079,8.15954,5670,4815,0.849206,0.814008,0.790688,0.766802,0.740476,0.717393,0.694471,0.671348,0.648193,0.62351
23,34034,277558,8.15532,5940,5045,0.849327,0.814806,0.791228,0.766553,0.740518,0.717503,0.694484,0.671171,0.647938,0.623304
24,35581,289977,8.14977,6210,5276,0.849597,0.81565,0.791193,0.766676,0.740727,0.717332,0.694481,0.671009,0.647547,0.622981
25,37128,302033,8.13491,6480,5497,0.848302,0.815263,0.790544,0.765685,0.739746,0.716464,0.69366,0.670049,0.646611,0.622122
26,38675,314472,8.13114,6750,5714,0.846519,0.813899,0.79,0.765357,0.739563,0.71605,0.693238,0.66968,0.646083,0.621643
27,40222,327130,8.13311,7020,5955,0.848291,0.814732,0.790483,0.765777,0.739994,0.716535,0.693606,0.670061,0.64655,0.622138
