Tempo(s),Pkt_env,Pkt_Rcv,Pkt_PDR,Exp_Pkt_Rcv,Exp_Pkts_Range_Recv,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
3,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
4,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
5,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
6,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
7,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
8,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
9,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
10,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
11,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
12,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
13,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
14,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
15,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
16,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
17,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
18,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
19,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
20,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
21,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
22,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
23,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
24,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
25,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
26,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
27,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
28,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
29,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
30,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
31,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
32,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
33,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
34,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
35,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
36,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
37,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
38,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
39,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
40,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
41,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
42,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
43,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
44,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
45,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
46,1547,12776,8.25856,270,240,0.888889,0.846154,0.816712,0.785495,0.760677,0.736677,0.713932,0.686968,0.658745,0.633457
